Country_name,year,Life_Ladder,Log_GDP_per_capita_x,Social_support_x,Healthy_life_expectancy_at_birth_x,Freedom_to_make_life_choices_x,Generosity_x,Perceptions_of_corruption_x,Regional_indicator,level_happiness,Life_Ladder_Avg,Log_GDP_per_capita_y,Social_support_y,Healthy_life_expectancy_at_birth_y,Freedom_to_make_life_choices_y,Generosity_y,Perceptions_of_corruption_y,MAE
Afghanistan,2017,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,South Asia,0,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.0
Afghanistan,2018,2.694,7.692,0.508,52.6,0.374,-0.094,0.928,South Asia,0,2.694,7.692,0.508,52.6,0.374,-0.094,0.928,0.0
Afghanistan,2019,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,South Asia,0,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,0.0
Afghanistan,2020,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,South Asia,0,3.391,7.697,0.5014000000000001,52.8,0.4214,-0.0402,0.8960000000000001,0.8240999850000001
Afghanistan,2021,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,South Asia,0,3.312,7.6491721168,0.489673391,52.67800003,0.4229146013999999,-0.0754858799999999,0.9065373108,0.7889999999999997
Albania,2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,Central and Eastern Europe,1,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.0
Albania,2018,5.004,9.518,0.684,68.7,0.824,0.009,0.899,Central and Eastern Europe,1,5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.0
Albania,2019,4.995,9.544,0.686,69.0,0.777,-0.099,0.914,Central and Eastern Europe,1,4.995,9.544,0.686,69.0,0.777,-0.099,0.914,0.0
Albania,2020,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,Central and Eastern Europe,1,5.026,9.4756,0.657,68.4,0.757,-0.0434,0.8949999999999999,0.14330003400000013
Albania,2021,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,Central and Eastern Europe,1,5.052,9.4785861206,0.6634140914,68.58162750199999,0.7725988448,-0.0356618978,0.8972607426,0.06500000000000039
Algeria,2017,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,Middle East and North Africa,1,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,0.0
Algeria,2018,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,Middle East and North Africa,1,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,0.0
Algeria,2019,4.745,9.337,0.803,66.1,0.385,0.005,0.741,Middle East and North Africa,1,4.745,9.337,0.803,66.1,0.385,0.005,0.741,0.0
Algeria,2020,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,Middle East and North Africa,1,4.898,9.3472,0.7952,65.668,0.48408054545,-0.1143052582,0.72167425685,0.10709977300000073
Algeria,2021,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,Middle East and North Africa,1,4.888,9.3877929642,0.7922770278,65.821034852,0.475862454525,-0.1121736619,0.727934155825,0.001000000000000334
Argentina,2017,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,Latin America and Caribbean,1,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,0.0
Argentina,2018,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,Latin America and Caribbean,1,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,0.0
Argentina,2019,6.086,10.0,0.896,69.0,0.817,-0.211,0.83,Latin America and Caribbean,1,6.086,10.0,0.896,69.0,0.817,-0.211,0.83,0.0
Argentina,2020,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,Latin America and Caribbean,1,6.351,10.046600000000002,0.9024,68.6,0.8448,-0.1948,0.8455999999999999,0.376300026
Argentina,2021,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,Latin America and Caribbean,1,6.297,9.9921910096,0.8973135897999999,68.720760498,0.8348264823999999,-0.1989827727999999,0.8438019684,0.36799999999999944
Armenia,2017,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,Commonwealth of Independent States,1,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,0.0
Armenia,2018,5.062,9.451,0.814,66.9,0.808,-0.163,0.677,Commonwealth of Independent States,1,5.062,9.451,0.814,66.9,0.808,-0.163,0.677,0.0
Armenia,2019,5.488,9.522,0.782,67.2,0.844,-0.172,0.583,Commonwealth of Independent States,1,5.488,9.522,0.782,67.2,0.844,-0.172,0.583,0.0
Armenia,2020,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,Commonwealth of Independent States,1,4.988,9.4084,0.7452,66.6,0.6855999999999999,-0.1709999999999999,0.7894,0.3112002260000004
Armenia,2021,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,Commonwealth of Independent States,1,5.028,9.361695253,0.7520958858,66.750131226,0.7178035668,-0.158155922,0.7639089576000001,0.2550000000000008
Australia,2017,7.257,10.798,0.95,73.3,0.911,0.317,0.411,North America and ANZ,2,7.257,10.798,0.95,73.3,0.911,0.317,0.411,0.0
Australia,2018,7.177,10.811,0.94,73.6,0.916,0.146,0.405,North America and ANZ,2,7.177,10.811,0.94,73.6,0.916,0.146,0.405,0.0
Australia,2019,7.234,10.815,0.943,73.9,0.918,0.121,0.43,North America and ANZ,2,7.234,10.815,0.943,73.9,0.918,0.121,0.43,0.0
Australia,2020,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,North America and ANZ,2,7.263,10.7988,0.9454,73.3,0.9178,0.2309999999999999,0.4004,0.040200222000000174
