Country_name,year,Regional_indicator,Life_Ladder,Life_Ladder_Avg,MAE
Afghanistan,2020,South Asia,2.566900015,3.391,0.8240999850000001
Afghanistan,2021,South Asia,2.523,3.312,0.7889999999999997
Albania,2020,Central and Eastern Europe,4.882699966,5.026,0.14330003400000013
Albania,2021,Central and Eastern Europe,5.117,5.052,0.06500000000000039
Algeria,2020,Middle East and North Africa,5.005099773,4.898,0.10709977300000073
Algeria,2021,Middle East and North Africa,4.887,4.888,0.001000000000000334
Argentina,2020,Latin America and Caribbean,5.974699974,6.351,0.376300026
Argentina,2021,Latin America and Caribbean,5.929,6.297,0.36799999999999944
Armenia,2020,Commonwealth of Independent States,4.676799774,4.988,0.3112002260000004
Armenia,2021,Commonwealth of Independent States,5.283,5.028,0.2550000000000008
Australia,2020,North America and ANZ,7.222799778,7.263,0.040200222000000174
Australia,2021,North America and ANZ,7.183,7.222,0.03900000000000059
Austria,2020,Western Europe,7.294199944,6.891,0.4031999439999998
Austria,2021,Western Europe,7.268,6.874,0.39400000000000013
Azerbaijan,2020,Commonwealth of Independent States,5.164800167,5.31,0.1451998329999995
Azerbaijan,2021,Commonwealth of Independent States,5.171,5.326,0.15499999999999936
Bahrain,2020,Middle East and North Africa,6.227300167,6.251,0.023699833000000226
Bahrain,2021,Middle East and North Africa,6.647,6.237,0.41000000000000014
Bangladesh,2020,South Asia,4.832799911,4.677,0.1557999110000008
Bangladesh,2021,South Asia,5.025,4.737,0.28800000000000026
Belarus,2020,Commonwealth of Independent States,5.539899826,5.5,0.03989982600000008
Belarus,2021,Commonwealth of Independent States,5.534,5.479,0.054999999999999716
Belgium,2020,Western Europe,6.863500118,6.647,0.2165001179999999
Belgium,2021,Western Europe,6.834,6.594,0.23999999999999932
Benin,2020,Sub-Saharan Africa,5.21600008,3.807,1.4090000799999998
Benin,2021,Sub-Saharan Africa,5.045,3.8,1.245
Bolivia,2020,Latin America and Caribbean,5.747499943,5.826,0.0785000569999994
Bolivia,2021,Latin America and Caribbean,5.716,5.791,0.07500000000000018
Bosnia and Herzegovina,2020,Central and Eastern Europe,5.674099922,5.216,0.4580999219999997
Bosnia and Herzegovina,2021,Central and Eastern Europe,5.813,5.299,0.5139999999999993
Botswana,2020,Sub-Saharan Africa,3.478899956,5.133,1.6541000440000002
Botswana,2021,Sub-Saharan Africa,3.467,5.093,1.626
Brazil,2020,Latin America and Caribbean,6.375599861,6.179,0.19659986100000015
Brazil,2021,Latin America and Caribbean,6.33,6.151,0.17900000000000027
Bulgaria,2020,Central and Eastern Europe,5.101500034,5.586,0.48449996600000045
Bulgaria,2021,Central and Eastern Europe,5.266,5.618,0.3520000000000003
Burkina Faso,2020,Sub-Saharan Africa,4.768700123,4.086,0.682700123
Burkina Faso,2021,Sub-Saharan Africa,4.834,4.067,0.7669999999999995
Burundi,2020,Sub-Saharan Africa,3.775300026,3.21,0.5653000260000001
Burundi,2021,Sub-Saharan Africa,3.775,3.031,0.7439999999999998
Cambodia,2020,Southeast Asia,4.848400116,4.754,0.09440011600000009
Cambodia,2021,Southeast Asia,4.83,4.75,0.08000000000000007
