Country_name,year,Life_Ladder,Log_GDP_per_capita_x,Social_support_x,Healthy_life_expectancy_at_birth_x,Freedom_to_make_life_choices_x,Generosity_x,Perceptions_of_corruption_x,Regional_indicator,level_happiness_x,Life_Ladder_Avg,Log_GDP_per_capita_y,Social_support_y,Healthy_life_expectancy_at_birth_y,Freedom_to_make_life_choices_y,Generosity_y,Perceptions_of_corruption_y,level_happiness_y,MAE
Afghanistan,2017,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,South Asia,0,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.0,0.0
Afghanistan,2018,2.694,7.692,0.508,52.6,0.374,-0.094,0.928,South Asia,0,2.694,7.692,0.508,52.6,0.374,-0.094,0.928,0.0,0.0
Afghanistan,2019,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,South Asia,0,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,0.0,0.0
Afghanistan,2020,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,South Asia,0,3.1867999999999994,7.697,0.5014000000000001,52.8,0.4214,-0.0402,0.8960000000000001,0.0,0.6198999849999995
Afghanistan,2021,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,South Asia,0,2.903580003,7.6491721168,0.489673391,52.67800003,0.4229146013999999,-0.0754858799999999,0.9065373108,0.0,0.38058000299999994
Albania,2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,Central and Eastern Europe,1,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,1.0,0.0
Albania,2018,5.004,9.518,0.684,68.7,0.824,0.009,0.899,Central and Eastern Europe,1,5.004,9.518,0.684,68.7,0.824,0.009,0.899,1.0,0.0
Albania,2019,4.995,9.544,0.686,69.0,0.777,-0.099,0.914,Central and Eastern Europe,1,4.995,9.544,0.686,69.0,0.777,-0.099,0.914,1.0,0.0
Albania,2020,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,Central and Eastern Europe,1,4.7514,9.4756,0.657,68.4,0.757,-0.0434,0.8949999999999999,1.0,0.07580000000000009
Albania,2020,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,Central and Eastern Europe,1,4.9030000000000005,9.4944,0.6712,68.7,0.767,-0.0258,0.8962,1.0,0.07580000000000009
Albania,2021,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,Central and Eastern Europe,1,4.977339993199999,9.4905861206,0.6778140913999999,68.821627502,0.7773988448,-0.0308618978,0.8952607426,1.0,0.13966000680000068
Algeria,2017,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,Middle East and North Africa,1,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,1.0,0.0
Algeria,2018,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,Middle East and North Africa,1,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,1.0,0.0
Algeria,2019,4.745,9.337,0.803,66.1,0.385,0.005,0.741,Middle East and North Africa,1,4.745,9.337,0.803,66.1,0.385,0.005,0.741,1.0,0.0
Algeria,2020,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,Middle East and North Africa,1,5.3466000000000005,9.3472,0.7952,65.668,0.48408054545,-0.1143052582,0.72167425685,1.0,0.34150022700000005
Algeria,2021,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,Middle East and North Africa,1,5.0766199546,9.3877929642,0.7922770278,65.821034852,0.475862454525,-0.1121736619,0.727934155825,1.0,0.18961995460000036
Argentina,2017,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,Latin America and Caribbean,1,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,1.0,0.0
Argentina,2018,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,Latin America and Caribbean,1,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,1.0,0.0
Argentina,2019,6.086,10.0,0.896,69.0,0.817,-0.211,0.83,Latin America and Caribbean,1,6.086,10.0,0.896,69.0,0.817,-0.211,0.83,1.0,0.0
Argentina,2020,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,Latin America and Caribbean,1,6.208399999999999,10.046600000000002,0.9024,68.6,0.8448,-0.1948,0.8455999999999999,1.0,0.1541000259999996
Argentina,2020,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,Latin America and Caribbean,1,6.0492,10.000000000000002,0.8966,68.8,0.8332,-0.1843999999999999,0.8385999999999999,1.0,0.1541000259999996
Argentina,2021,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,Latin America and Caribbean,1,5.9587399948,9.9519910096,0.9001135897999999,68.880760498,0.8298264824,-0.1849827728,0.8368019684,1.0,0.02973999479999989
Armenia,2017,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,Commonwealth of Independent States,1,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,1.0,0.0
Armenia,2018,5.062,9.451,0.814,66.9,0.808,-0.163,0.677,Commonwealth of Independent States,1,5.062,9.451,0.814,66.9,0.808,-0.163,0.677,1.0,0.0
Armenia,2019,5.488,9.522,0.782,67.2,0.844,-0.172,0.583,Commonwealth of Independent States,1,5.488,9.522,0.782,67.2,0.844,-0.172,0.583,1.0,0.0
Armenia,2020,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,Commonwealth of Independent States,1,4.7022,9.4084,0.7452,66.6,0.6855999999999999,-0.1709999999999999,0.7894,1.0,0.02540022600000036
Armenia,2021,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,Commonwealth of Independent States,1,4.7679599548,9.361695253,0.7520958858,66.750131226,0.7178035668,-0.158155922,0.7639089576000001,1.0,0.5150400452000001
Australia,2017,7.257,10.798,0.95,73.3,0.911,0.317,0.411,North America and ANZ,2,7.257,10.798,0.95,73.3,0.911,0.317,0.411,2.0,0.0
Australia,2018,7.177,10.811,0.94,73.6,0.916,0.146,0.405,North America and ANZ,2,7.177,10.811,0.94,73.6,0.916,0.146,0.405,2.0,0.0
Australia,2019,7.234,10.815,0.943,73.9,0.918,0.121,0.43,North America and ANZ,2,7.234,10.815,0.943,73.9,0.918,0.121,0.43,2.0,0.0
Australia,2020,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,North America and ANZ,2,7.245400000000001,10.7988,0.9454,73.3,0.9178,0.2309999999999999,0.4004,2.0,0.017200000000000326
Australia,2020,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,North America and ANZ,2,7.211,10.794999999999998,0.9424,73.6,0.9144,0.2066,0.4272,2.0,0.017200000000000326
Australia,2021,7.183,10.796,0.94,73.9,0.914,0.159,0.442,North America and ANZ,2,7.2055599556,10.780919262,0.9429709234,73.720907592,0.9130863476,0.196892032,0.4304338239999999,2.0,0.022559955600000237
Austria,2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,Western Europe,2,7.294,10.908,0.906,72.7,0.89,0.133,0.518,2.0,0.0
Austria,2018,7.396,10.928,0.912,73.0,0.904,0.053,0.523,Western Europe,2,7.396,10.928,0.912,73.0,0.904,0.053,0.523,2.0,0.0
Austria,2019,7.195,10.939,0.964,73.3,0.903,0.06,0.457,Western Europe,2,7.195,10.939,0.964,73.3,0.903,0.06,0.457,2.0,0.0
